station,lat,lon,mean_demand,cluster_id,cluster_label
10e avenue / Masson,45.55037651450808,-73.57373356819151,12.92,2,medium
15e avenue / Laurier,45.55331992800521,-73.56932803988457,5.09,0,low
1ère avenue / Rosemont,45.54779995287998,-73.58486741781235,8.08,0,low
5e avenue / Masson,45.54752382909683,-73.57513636350632,9.92,2,medium
Alexandre-DeSève / Ontario,45.524376361264665,-73.56055293409413,11.72,2,medium
Alma / de Bellechasse,45.531034186281765,-73.60352754592896,5.67,0,low
André-Laurendeau / Rachel,45.54303187243879,-73.56256484985352,11.58,2,medium
Atateken / du Square Amherst,45.52062269744357,-73.56393059987325,10.73,2,medium
Augustin-Cantin / Shearer,45.48390169543355,-73.56363236904144,7.17,0,low
Aylmer / Prince-Arthur,45.50856686947439,-73.57769787311554,14.52,2,medium
Aylmer / Sherbrooke,45.50629456823703,-73.57282698154448,9.04,0,low
Aylmer / Ste-Catherine,45.50434678685089,-73.56894850730896,6.94,0,low
Aylwin / Ontario,45.54429025931942,-73.54523870922583,11.13,2,medium
BAnQ (Berri),45.51601387670667,-73.56291957199574,9.64,0,low
Beaudry / Sherbrooke,45.52303493310712,-73.56539458036421,7.6,0,low
Bennett / Ste-Catherine,45.55315915057821,-73.53263273835182,5.32,0,low
Bercy / Rachel,45.53840340979245,-73.56196403503418,6.0,0,low
Bernard / Jeanne-Mance,45.52428310031213,-73.6049484461546,11.34,2,medium
Berri / Cherrier,45.519266156911335,-73.5692971944809,15.58,2,medium
Berri / Gilford,45.52677632748293,-73.58606100082396,11.84,2,medium
Berri / Laurier,45.52809995527671,-73.58843871625139,13.04,2,medium
Berri / Rachel,45.52275023118295,-73.57724860310555,14.36,2,medium
Bibliothèque et Complexe aquatique Rosemont (8e avenue / Rosemont),45.5515537503088,-73.58219377711914,5.88,0,low
Bishop / René-Lévesque,45.49536795507059,-73.57401251792908,7.9,0,low
Bishop / Ste-Catherine,45.496597761984034,-73.57650284979172,7.58,0,low
